Summary
Total Documents with Terms,25
Total Documents without Terms,76

Document,Terms Found,Term Count
"United States v. Martinez-Villela, 2023 U.S. App. LEXIS 7735.DOCX","alien smuggling, alien",2
"Walsh v. Warden of Pike Cnty. Corr. Facility, 2023 U.S. Dist. LEXIS 146675.DOCX","alien smuggling, alien",2
"United States v. Doll, 2023 U.S. Dist. LEXIS 203728.DOCX","alien smuggling, alien, harboring",3
"United States v. Chica-Giler, 2023 U.S. App. LEXIS 30421.DOCX",alien,1
Files (100)_doclist.DOCX,human smuggling,1
"United States v. Manrique-Frias, 692 F. Supp. 3d 1036.DOCX","alien, illegal entry",2
"United States v. Yun Zheng, 87 F.4th 336.DOCX","alien, harboring",2
"United States v. Naranjo, 2023 U.S. App. LEXIS 1353.DOCX","alien smuggling, alien",2
"United States v. Mendoza, 2023 U.S. App. LEXIS 18640.DOCX","alien, illegal entry, harboring",3
"United States v. Lee, 2023 U.S. App. LEXIS 6623.DOCX",alien,1
"United States v. Boyso-Gutierrez, 2023 U.S. Dist. LEXIS 10454.DOCX",alien,1
"United States v. Urrea, 2023 U.S. Dist. LEXIS 21018.DOCX","alien smuggling, alien, illegal entry, transportation of illegal aliens",4
"United States v. Miske, 2023 U.S. Dist. LEXIS 28807.DOCX",alien,1
"Mejia v. Miller, 61 F.4th 663.DOCX",alien,1
"United States v. Smith, 673 F. Supp. 3d 381.DOCX",illegal entry,1
"United States v. Fourcade, 2023 U.S. Dist. LEXIS 222415.DOCX",alien,1
"United States v. Griss, 2023 U.S. Dist. LEXIS 97973.DOCX","alien smuggling, alien",2
"Hutchins v. Rowell, 2023 U.S. Dist. LEXIS 167006.DOCX",alien,1
"United States v. Vera-Rivas, 2023 U.S. Dist. LEXIS 38310.DOCX","alien, illegal entry",2
"State v. Bojorquez, 2023 Ariz. App. Unpub. LEXIS 526.DOCX",undocumented immigrants,1
"United States v. Salazar, 2023 U.S. Dist. LEXIS 166758.DOCX",alien,1
"State v. Talo, 153 Haw. 63.DOCX",alien,1
"United States v. Hernandez, 2023 U.S. Dist. LEXIS 166720.DOCX","alien smuggling, alien",2
"Chavez v. State, 671 S.W.3d 775.DOCX",alien,1
"United States v. Esquivel, 2023 U.S. Dist. LEXIS 126321.DOCX","alien smuggling, alien",2
"United States v. Perez, 2023 U.S. Dist. LEXIS 19848.DOCX",No terms found,0
