Summary
Total Documents with Terms,41
Total Documents without Terms,60

Document,Terms Found,Term Count
"United States v. Morales, 2023 U.S. Dist. LEXIS 168229.DOCX","alien, illegal entry",2
"United States v. Ambrose, 2023 U.S. Dist. LEXIS 108356.DOCX","alien smuggling, alien",2
"United States v. Bressi, 2023 U.S. Dist. LEXIS 68720.DOCX",trespassing,1
"United States v. Jaramillo, 2023 U.S. Dist. LEXIS 122829.DOCX","alien smuggling, alien, transportation of illegal aliens",3
Files (100)_doclist.DOCX,human smuggling,1
"Brewster v. City of Los Angeles, 672 F. Supp. 3d 872.DOCX","alien, undocumented immigrants",2
"United State of Am. v. Shelton, 2023 U.S. Dist. LEXIS 174069.DOCX","alien smuggling, alien, illegal entry, transportation of illegal aliens",4
"United States v. Kim Dung Thi Lee, 2023 U.S. Dist. LEXIS 125600.DOCX","alien smuggling, alien",2
"United States v. Kiselev, 2023 U.S. Dist. LEXIS 128356.DOCX",alien,1
"Leonard v. Gittere, 686 F. Supp. 3d 1083.DOCX",alien,1
"United States v. Hernandez, 2023 U.S. Dist. LEXIS 145511.DOCX",alien,1
"Yan Qing Feng v. United States AG, 2023 U.S. App. LEXIS 19937.DOCX",alien,1
"Vectrus Servs. A_S v. United States, 164 Fed. Cl. 693.DOCX",alien,1
"Elsik v. State, 678 S.W.3d 360.DOCX","alien, illegal entry, harboring",3
"People v. Cerpa, 2023 Cal. App. Unpub. LEXIS 5719.DOCX",harboring,1
"Elsik v. State, 2023 Tex. App. LEXIS 5444.DOCX",alien,1
"United States v. Garcia, 2023 U.S. Dist. LEXIS 24964.DOCX","alien smuggling, alien",2
"Arias v. Garland, 696 F. Supp. 3d 531.DOCX",alien,1
"United States v. Bethel, 2023 U.S. App. LEXIS 29921.DOCX","alien, illegal entry, harboring",3
"United States v. Shirey, 2023 U.S. Dist. LEXIS 65587.DOCX","alien smuggling, alien, transportation of illegal aliens",3
"State v. Leon, 2023 Wash. App. LEXIS 1481.DOCX",undocumented immigrants,1
"In the Int. of A.Y.C., 665 S.W.3d 800.DOCX",coyote,1
