Summary
Total Documents with Terms,32
Total Documents without Terms,69

Document,Terms Found,Term Count
"United States v. Ramirez-Urbina, 2023 U.S. App. LEXIS 12838.DOCX",alien,1
"Benavides v. United States, 2023 U.S. Dist. LEXIS 153051.DOCX","alien, harboring",2
"United States v. D'Luna-Mendez, 2023 U.S. Dist. LEXIS 222519.DOCX","alien smuggling, alien",2
"United States v. Perpuly, 2023 U.S. App. LEXIS 264.DOCX","alien smuggling, alien",2
"United States v. Lopez-Escobar, 2023 U.S. Dist. LEXIS 150504.DOCX","alien, harboring",2
"United States v. Haros, 2023 U.S. Dist. LEXIS 157855.DOCX",harboring,1
Files (100)_doclist.DOCX,human smuggling,1
"Habecker v. United States, 2023 U.S. Dist. LEXIS 22658.DOCX",undocumented immigrants,1
"United States v. Padilla, 689 F. Supp. 3d 1025.DOCX","alien smuggling, alien, harboring",3
"United States v. Jefferson, 2023 U.S. App. LEXIS 13003.DOCX","alien smuggling, alien",2
"Hernandez v. Garland, 2023 U.S. App. LEXIS 27957.DOCX","alien smuggling, alien",2
"United States v. Olivo, 2023 U.S. App. LEXIS 13298.DOCX",alien,1
"United States v. Guia-Lopez, 2023 U.S. App. LEXIS 21304.DOCX","alien smuggling, alien, transportation of illegal aliens",3
"Asprilla v. United States, 2023 U.S. Dist. LEXIS 55832.DOCX","alien smuggling, alien",2
"United States v. Rego-Plasencia, 2023 U.S. App. LEXIS 10693.DOCX",alien,1
"Jalloh v. Garland, 2023 U.S. App. LEXIS 3173.DOCX",alien,1
"United States v. Williams-Dorsey, 2023 U.S. App. LEXIS 30782.DOCX",undocumented immigrants,1
"Jesus-Flores v. United States, 2023 U.S. Dist. LEXIS 66860.DOCX","alien, harboring",2
"Penate v. Garland, 2023 U.S. Dist. LEXIS 4346.DOCX","alien smuggling, alien",2
"United States v. Buendia, 73 F.4th 336.DOCX","alien, undocumented immigrants, illegal entry, harboring",4
"United States v. Shelton, 2023 U.S. Dist. LEXIS 172533.DOCX","alien smuggling, alien, transportation of illegal aliens",3
"Stapleton v. United States, 2023 U.S. Dist. LEXIS 224861.DOCX","alien, coyote",2
"United States v. Velazquez-Inchaurregui, 2023 U.S. Dist. LEXIS 205893.DOCX",alien,1
"United States v. Rogel-Rodas, 2023 U.S. Dist. LEXIS 22970.DOCX",alien,1
"Vento v. United States, 2023 U.S. Dist. LEXIS 111483.DOCX","alien, harboring",2
"Lucero-Deras v. Warden, 2023 U.S. Dist. LEXIS 123701.DOCX","alien smuggling, alien",2
"United States v. Guerra-Lopez, 2023 U.S. Dist. LEXIS 93136.DOCX","alien smuggling, alien",2
"Spezzia v. United States, 2023 U.S. Dist. LEXIS 127723.DOCX","alien smuggling, alien, harboring",3
"United States v. Maguina, 2023 U.S. App. LEXIS 12412.DOCX","alien smuggling, alien",2
"United States v. Campbell, 2023 U.S. App. LEXIS 10907.DOCX","alien, illegal entry",2
