Summary
Total Documents with Terms,14
Total Documents without Terms,87

Document,Terms Found,Term Count
"United States v. Turner, 2023 U.S. Dist. LEXIS 171153.DOCX",alien,1
"United States v. Salguero-Tziboy, 2023 U.S. App. LEXIS 29371.DOCX","alien, harboring",2
Files (100)_doclist.DOCX,human smuggling,1
"Bird v. Mertens-Jones, 2023 U.S. Dist. LEXIS 21230.DOCX",alien,1
"In re Rana, 673 F. Supp. 3d 1109.DOCX",alien,1
"United States v. Uribe-Jimenez, 2023 U.S. Dist. LEXIS 182109.DOCX","alien, illegal entry",2
"Shen v. United States, 2023 U.S. Dist. LEXIS 135410.DOCX",alien,1
"Valli v. Mayorkas, 707 F. Supp. 3d 980.DOCX",alien,1
"United States v. Gibbins, 2023 U.S. Dist. LEXIS 93174.DOCX",alien,1
"United States v. Xiaorong You, 74 F.4th 378.DOCX",alien,1
"Cannata v. Pistro, 2023 U.S. Dist. LEXIS 204714.DOCX",alien,1
"United States v. Nibbs, 643 F. Supp. 3d 299.DOCX",alien,1
"United States v. Guerra-Lopez, 2023 U.S. Dist. LEXIS 92855.DOCX","alien smuggling, alien",2
"United States v. Rodriguez, 2023 U.S. Dist. LEXIS 156955.DOCX",alien,1
"Chapman v. San Mateo Cnty., 2023 U.S. Dist. LEXIS 108204.DOCX",No terms found,0
"United States v. Brooks, 2023 U.S. App. LEXIS 15745.DOCX",No terms found,0
"United States v. $16,900.00 in Unites States Currency, 2023 U.S. Dist. LEXIS 170118.DOCX",No terms found,0
"Lawson v. Hawkins Cty., 2023 Tenn. App. LEXIS 511.DOCX",No terms found,0
"Ravelo v. Dixon, 2023 U.S. Dist. LEXIS 61401.DOCX",No terms found,0
"United States v. Minion, 2023 U.S. Dist. LEXIS 148250.DOCX",No terms found,0
"United States v. Garcia, 2023 U.S. App. LEXIS 3390.DOCX",No terms found,0
"Burke v. Powell, 2023 U.S. Dist. LEXIS 87833.DOCX",No terms found,0
"Est. of Fishbeck v. Islamic Republic of Iran, 2023 U.S. Dist. LEXIS 201125.DOCX",No terms found,0
