Summary
Total Documents with Terms,18
Total Documents without Terms,83

Document,Terms Found,Term Count
"United States v. Goins, 2023 U.S. Dist. LEXIS 11008.DOCX","alien smuggling, alien",2
Files (100)_doclist.DOCX,human smuggling,1
"United States v. Gonzalez, 2023 U.S. Dist. LEXIS 123790.DOCX","alien transportation, alien, illegal entry",3
"United States v. Andrade, 2023 U.S. Dist. LEXIS 62016.DOCX",alien,1
"Flores v. United States AG, 64 F.4th 1208.DOCX","alien smuggling, alien",2
"Martinez-De Umana v. Garland, 82 F.4th 303.DOCX",alien,1
"United States v. Amintobia, 57 F.4th 687.DOCX",alien,1
"Nash v. United States, 2023 U.S. Dist. LEXIS 25671.DOCX",alien,1
"United States v. Villasenor, 2023 U.S. Dist. LEXIS 11935.DOCX",alien,1
"United States v. Nucera, 67 F.4th 146.DOCX","alien, illegal entry, harboring",3
"People v. Rolon, 2023 Cal. App. Unpub. LEXIS 1006.DOCX","alien smuggling, alien, illegal entry",3
"Sheng-Wen Cheng v. Wilcox, 2023 U.S. Dist. LEXIS 107348.DOCX","alien, harboring",2
"Chavez v. Villanueva, 699 F. Supp. 3d 844.DOCX",alien,1
"United States v. Gomez, 2023 U.S. App. LEXIS 13529.DOCX",alien,1
"United States v. Gruezo, 66 F.4th 1284.DOCX",alien,1
"United States v. Montero-Perez, 2023 U.S. Dist. LEXIS 12016.DOCX",alien,1
"United States v. 1 Reggie David Sanchez Ramos, 2023 U.S. Dist. LEXIS 61272.DOCX",alien,1
"Yost v. United States, 2023 U.S. Dist. LEXIS 177786.DOCX","alien smuggling, alien, transportation of illegal aliens",3
"United States v. Landfried, 2023 U.S. Dist. LEXIS 137525.DOCX",No terms found,0
"United States v. Urquidi, 71 F.4th 357.DOCX",No terms found,0
"In re Extradition of Tautvydas, 2023 U.S. Dist. LEXIS 14217.DOCX",No terms found,0
"People v. Campbell, 2023 NYLJ LEXIS 2972.DOCX",No terms found,0
"United States v. Garcia, 2023 U.S. App. LEXIS 22528.DOCX",No terms found,0
"Walker v. Hill, 2023 U.S. App. LEXIS 423.DOCX",No terms found,0
"Jarrott v. United States, 2023 U.S. Dist. LEXIS 128020.DOCX",No terms found,0
"In re Merillat, 2023 Tex. App. LEXIS 7887.DOCX",No terms found,0
"Blanco v. United States, 2023 U.S. Dist. LEXIS 152649.DOCX",No terms found,0
"United States v. Williams-Bey, 2023 U.S. Dist. LEXIS 144065.DOCX",No terms found,0
"Franco v. Reinhardt, 153 Haw. 406.DOCX",No terms found,0
"Anderson v. Grant County, 28 Wn. App. 2d 796.DOCX",No terms found,0
"Munoz v. United States, 2023 U.S. Dist. LEXIS 220996.DOCX",No terms found,0
"Stepanyan v. United States, 2023 U.S. Dist. LEXIS 132694.DOCX",No terms found,0
"Gobert v. Lumpkin, 2023 U.S. App. LEXIS 19663.DOCX",No terms found,0
"Wilkes v. State, 681 S.W.3d 843.DOCX",No terms found,0
"McClellan v. Cox, 2023 U.S. Dist. LEXIS 236574.DOCX",No terms found,0
"Vento v. United States, 2023 U.S. Dist. LEXIS 181748.DOCX",No terms found,0
"Perez v. Morrison, 2023 U.S. Dist. LEXIS 157752.DOCX",No terms found,0
"United States v. Esquivel-Carrizales, 2023 U.S. App. LEXIS 20881.DOCX",No terms found,0
"United States v. $35,995.00 U.S. Currency, 2023 U.S. Dist. LEXIS 168194.DOCX",No terms found,0
"United States v. Brown, 2023 U.S. Dist. LEXIS 65756.DOCX",No terms found,0
"Estate of Roosevelt Holliman v. Turner, 2023 U.S. Dist. LEXIS 22945.DOCX",No terms found,0
"Sharifi v. Dunn, 2023 U.S. Dist. LEXIS 178843.DOCX",No terms found,0
"Matter of Livingston v. Annucci, 222 A.D.3d 1391.DOCX",No terms found,0
"Mashburn v. Henderson Cnty., 2023 U.S. Dist. LEXIS 49393.DOCX",No terms found,0
"United States v. Plaza, 2023 U.S. App. LEXIS 17332.DOCX",No terms found,0
"Commonwealth v. Acevedo, 492 Mass. 381.DOCX",No terms found,0
"Harris v. Cota, 2023 U.S. Dist. LEXIS 110757.DOCX",No terms found,0
"Cote v. State, 540 P.3d 1056.DOCX",No terms found,0
